  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3727.6ms
[99/756] 2022-04-12T18:00:00  total_mb=6564  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3864.8ms
[100/756] 2022-04-12T18:40:00  total_mb=6577  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3678.1ms
[101/756] 2022-04-12T19:20:00  total_mb=6582  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=4069.0ms
[102/756] 2022-04-12T20:00:00  total_mb=6589  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=4121.5ms
[103/756] 2022-04-12T20:40:00  total_mb=6598  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3688.7ms
[104/756] 2022-04-12T21:20:00  total_mb=4185  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=2495.6ms
[105/756] 2022-04-12T22:00:00  total_mb=4396  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=2538.8ms
[106/756] 2022-04-12T22:40:00  total_mb=4583  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=2470.2ms
[107/756] 2022-04-12T23:20:00  total_mb=4870  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3016.8ms
[108/756] 2022-04-13T00:00:00  total_mb=4916  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=2701.8ms
[109/756] 2022-04-13T00:40:00  total_mb=4998  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3291.2ms
[110/756] 2022-04-13T01:20:00  total_mb=5042  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3175.2ms
